Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,6,6,0,12,12,18
BrowserInterfaceBrokerImpl,0,1,1,0,0,0,1
HashMap,0,6,6,0,1,1,7
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
HeapArray,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
InlinedVector,0,1,1,0,0,0,1
LRUCache,1,0,1,0,0,0,1
Matcher,0,0,0,0,1,1,1
Member,0,28,28,0,0,0,28
OwnedObjects,0,1,1,0,0,0,1
SafeOptional,47,0,47,0,0,0,47
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UniqueReceiverSet,0,2,2,0,0,0,2
UntracedMember,0,1,1,0,0,0,1
VariantMap,1,0,1,0,0,0,1
Vector,0,10,10,0,1,1,11
WeakPtr,0,0,0,1,0,1,1
WeakPtrFactory,0,0,0,1,0,1,1
array,0,6,6,2,3,5,11
atomic,0,8,8,0,1,1,9
circular_deque,1,2,3,0,2,2,5
conditional_t,1,0,1,0,0,0,1
deque,1,0,1,0,0,0,1
flat_hash_map,5,10,15,1,1,2,17
flat_hash_set,2,4,6,0,0,0,6
flat_map,49,105,154,12,10,22,176
flat_set,61,13,74,4,1,5,79
list,17,0,17,1,0,1,18
map,79,173,252,45,81,126,378
multimap,1,0,1,0,0,0,1
multiset,0,1,1,0,0,0,1
optional,5,8,13,1,5,6,19
queue,8,0,8,2,0,2,10
raw_ptr,2,1,3,1,5,6,9
raw_span,0,4,4,0,1,1,5
set,84,10,94,25,2,27,121
span,0,3,3,0,0,0,3
stack,0,0,0,1,0,1,1
tuple,0,1,1,0,0,0,1
unique_ptr,0,3,3,0,0,0,3
unordered_map,12,26,38,4,2,6,44
unordered_set,12,2,14,0,0,0,14
variant,7,7,14,0,0,0,14
vector,189,45,234,117,24,141,375
